subject	session	run	datetime	n_targets	hits	false_alarms	rt	keys
01	05	1	2019-09-12 15:02:12.000000	10	10	3	2.2054599999999995	num_add=13
01	05	2	2019-09-12 15:22:15.000000	10	9	2	2.060333333333323	num_add=11
01	05	3	2019-09-12 15:43:23.000000	10	9	0	1.6869777777777761	num_add=9
01	05	4	2019-09-12 16:10:02.000000	10	6	2	1.7677833333333375	num_add=8
01	05	5	2019-09-12 16:29:37.000000	10	8	0	1.6343749999999986	num_add=8, f6=1
01	06	1	2019-09-16 14:18:45.000000	10	8	1	1.2469250000000038	num_add=9
01	06	2	2019-09-16 14:40:37.000000	10	9	0	1.449855555555564	num_add=9
01	06	3	2019-09-16 15:08:03.000000	10	6	1	1.8018000000000072	num_add=7
01	06	4	2019-09-16 15:41:29.000000	10	10	1	2.0515600000000065	num_add=11
01	06	5	2019-09-16 16:07:44.000000	10	6	0	1.8517499999999993	num_add=6
01	07	1	2019-09-17 14:46:21.000000	10	8	0	2.6360874999999924	num_add=8
01	07	2	2019-09-17 15:11:45.000000	10	8	1	2.3566999999999823	num_add=9
01	07	3	2019-09-17 15:40:33.000000	10	6	1	2.5799499999999673	num_add=7
01	07	4	2019-09-17 16:09:50.000000	10	7	0	2.5447571428571587	num_add=7
01	07	5	2019-09-17 16:39:54.000000	10	7	0	2.2589285714285614	num_add=7
01	08	1	2019-09-19 15:17:20.000000	10	10	1	2.0397900000000133	num_add=11
01	08	2	2019-09-19 15:42:56.000000	10	9	1	2.3016111111111255	num_add=10
01	08	3	2019-09-19 16:06:52.000000	10	8	0	2.3929499999999955	num_add=8
01	08	4	2019-09-19 16:32:24.000000	10	8	0	2.9762749999999976	num_add=8
01	08	5	2019-09-19 16:56:30.000000	10	7	0	2.3492714285714476	num_add=7
01	09	1	2019-09-20 10:36:41.000000	10	9	0	2.349377777777766	num_add=9
01	09	2	2019-09-20 10:59:59.000000	10	8	1	2.4185625	num_add=9
01	09	3	2019-09-20 11:22:15.000000	10	7	0	2.234642857142847	num_add=7
01	09	4	2019-09-20 11:45:27.000000	10	7	0	2.4248571428571517	num_add=7
01	09	5	2019-09-20 12:09:18.000000	10	8	0	1.9885750000000044	num_add=8
01	10	1	2019-09-22 10:52:59.000000	10	9	0	2.257655555555542	num_add=9
01	10	2	2019-09-22 11:18:03.000000	10	10	0	2.284980000000016	num_add=10
01	10	3	2019-09-22 11:48:06.000000	10	8	0	1.9930875000000157	num_add=8
01	10	4	2019-09-22 12:11:10.000000	10	9	0	2.305455555555553	num_add=9
01	10	5	2019-09-22 12:35:27.000000	10	5	0	2.5954199999999874	num_add=5
02	05	1	2019-09-09 10:42:39.000000	10	9	1	2.586433333333332	num_add=9, space=1
02	05	2	2019-09-09 11:00:29.000000	10	9	1	1.9114333333333333	num_add=10
02	05	3	2019-09-09 11:23:11.000000	10	9	1	2.3575111111111196	num_add=10
02	05	4	2019-09-09 11:43:15.000000	10	10	0	1.9037700000000057	num_add=10
02	05	5	2019-09-09 12:00:40.000000	10	6	0	2.4140666666666704	num_add=6
02	06	1	2019-09-11 10:35:12.000000	10	6	0	1.9689166666666473	num_add=6
02	06	2	2019-09-11 10:54:26.000000	10	7	0	2.6742571428571256	num_add=7
02	06	3	2019-09-11 11:14:44.000000	10	10	0	1.9112499999999897	num_add=10
02	06	4	2019-09-11 11:35:31.000000	10	9	0	2.8811666666666818	num_add=9
02	06	5	2019-09-11 12:03:10.000000	0	0	0		lctrl=1
02	06	6	2019-09-11 12:05:06.000000	10	7	1	1.659228571428583	num_add=8
02	07	1	2019-09-13 10:38:51.000000	10	6	0	2.379266666666671	num_add=6
02	07	2	2019-09-13 10:56:30.000000	10	4	0	2.3186750000000007	num_add=4, numlock=3, num_subtract=1
02	07	3	2019-09-13 11:14:20.000000	10	6	0	2.453033333333347	num_add=6
02	07	4	2019-09-13 11:33:54.000000	10	6	1	2.2632333333333485	num_add=7, num_subtract=1
02	07	5	2019-09-13 11:53:41.000000	10	5	0	2.1487400000000045	num_add=5
02	08	1	2019-09-15 11:14:11.000000	10	7	0	1.8871857142857138	num_add=7
02	08	2	2019-09-15 11:32:02.000000	10	6	1	1.9960999999999949	num_add=7
02	08	3	2019-09-15 11:51:44.000000	10	6	0	1.4732166666666773	num_add=6
02	08	4	2019-09-15 12:11:05.000000	10	5	0	2.20108000000004	num_add=5
02	08	5	2019-09-15 12:29:48.000000	10	7	0	2.145014285714276	num_add=7
02	09	1	2019-09-18 11:34:37.000000	10	10	0	2.0013299999999945	num_add=10
02	09	2	2019-09-18 11:56:55.000000	10	7	0	1.878142857142864	num_add=7
02	09	3	2019-09-18 12:16:08.000000	10	8	0	2.2016249999999884	num_add=8
02	09	4	2019-09-18 12:36:51.000000	10	7	0	2.4211857142857127	num_add=7
02	09	5	2019-09-18 12:59:49.000000	10	7	0	1.9065285714285989	num_add=7
02	10	1	2019-09-21 19:09:14.000000	10	5	1	2.488060000000011	num_add=6
02	10	2	2019-09-21 19:38:35.000000	10	7	0	2.0544142857142567	num_add=7
02	10	3	2019-09-21 20:01:36.000000	10	6	0	1.996400000000013	num_add=6
02	10	4	2019-09-21 20:30:06.000000	10	7	0	1.9877571428571374	num_add=7
02	10	5	2019-09-21 20:49:11.000000	10	5	0	2.222279999999995	num_add=5
02	10	6	2019-09-21 21:05:06.000000	10	6	0	1.451399999999983	num_add=6
03	05	1	2019-09-09 14:48:19.000000	10	9	1	2.517522222222215	num_add=10
03	05	2	2019-09-09 15:12:28.000000	10	7	2	2.0679999999999956	num_add=9
03	05	3	2019-09-09 15:36:55.000000	10	8	0	1.4698750000000107	num_add=8
03	05	4	2019-09-09 16:42:35.000000	10	6	2	2.006533333333332	num_add=8
03	05	5	2019-09-09 17:03:36.000000	10	9	0	2.2055555555555553	num_add=9
03	06	1	2019-09-11 14:28:28.000000	10	5	0	2.04189999999999	num_add=5
03	06	2	2019-09-11 14:57:35.000000	10	4	0	1.902049999999992	num_add=4
03	06	3	2019-09-11 15:20:10.000000	10	5	0	2.71358000000001	num_add=5
03	06	4	2019-09-11 15:44:51.000000	10	5	0	2.1674600000000055	num_add=5
03	06	5	2019-09-11 16:14:59.000000	10	7	0	2.3163142857142813	num_add=7
03	07	1	2019-09-13 14:25:09.000000	10	9	0	2.7136666666666702	num_add=9
03	07	2	2019-09-13 15:04:02.000000	10	6	0	2.2689999999999846	num_add=6
03	07	3	2019-09-13 15:35:19.000000	10	9	0	1.6102111111111113	num_add=9
03	07	4	2019-09-13 16:08:11.000000	10	8	1	2.367300000000003	num_add=9
03	07	5	2019-09-13 16:36:25.000000	10	7	1	1.6871428571428535	num_add=8
03	08	1	2019-09-15 14:32:05.000000	10	9	0	2.2463333333333404	num_add=9
03	08	2	2019-09-15 15:05:59.000000	10	7	0	1.8055142857142894	num_add=7
03	08	3	2019-09-15 15:34:55.000000	10	0	0		
03	08	4	2019-09-15 16:22:47.000000	10	7	0	1.4108571428571517	num_add=7
03	08	5	2019-09-15 16:51:52.000000	10	7	0	1.762985714285719	num_add=7, num_enter=1
03	09	1	2019-09-18 15:11:59.000000	10	8	0	1.7553499999999915	num_add=8
03	09	2	2019-09-18 15:46:28.000000	10	8	0	1.7896874999999852	num_add=8
03	09	3	2019-09-18 16:09:25.000000	10	5	1	1.7754200000000253	num_add=6
03	09	4	2019-09-18 16:29:04.000000	10	7	0	1.6918571428571525	num_add=7
03	09	5	2019-09-18 16:49:00.000000	10	7	1	1.196557142857151	num_add=8
03	10	1	2019-09-20 17:47:53.000000	10	6	1	2.60226666666667	num_add=7
03	10	2	2019-09-20 18:09:31.000000	10	7	0	2.3541857142857068	num_add=7
03	10	3	2019-09-20 18:32:28.000000	10	8	0	1.7887999999999717	num_add=8
03	10	4	2019-09-20 19:24:03.000000	10	6	1	2.0399166666666653	num_add=7
03	10	5	2019-09-20 19:44:00.000000	10	8	0	2.0139624999999874	num_add=8
04	02	1	2019-09-05 09:25:30.000000	0	0	0		
04	02	2	2019-09-05 10:11:21.000000	0	0	0		
04	05	1	2019-09-10 10:29:28.000000	10	8	0	2.0303500000000128	num_add=8
04	05	2	2019-09-10 10:50:30.000000	10	8	1	2.1222874999999983	num_add=9
04	05	3	2019-09-10 11:27:51.000000	10	7	0	2.3313142857142912	num_add=7
04	05	4	2019-09-10 11:46:20.000000	10	7	0	2.0784285714285846	num_add=7
04	05	5	2019-09-10 12:08:26.000000	10	6	0	1.573999999999998	num_add=6
04	06	1	2019-09-14 10:38:47.000000	10	6	0	2.8027166666666568	num_add=6
04	06	2	2019-09-14 10:59:57.000000	10	5	0	2.020620000000014	num_add=5
04	06	3	2019-09-14 11:20:46.000000	10	6	0	2.4802666666666977	num_add=6
04	06	4	2019-09-14 11:50:19.000000	10	6	0	2.4459666666667004	num_add=6
04	06	5	2019-09-14 12:10:29.000000	10	4	1	2.3019250000000078	num_add=5
04	07	1	2019-09-17 10:54:40.000000	10	7	0	1.8730428571428632	num_add=7
04	07	2	2019-09-17 11:12:22.000000	10	6	0	1.323049999999976	num_add=6
04	07	3	2019-09-17 11:32:31.000000	10	8	0	1.9226125000000187	num_add=8
04	07	4	2019-09-17 11:51:25.000000	10	6	0	2.4522666666666524	num_add=6
04	07	5	2019-09-17 12:11:34.000000	10	6	0	2.641416666666639	num_add=6
04	08	1	2019-09-21 11:07:02.000000	10	6	0	2.1469833333333455	num_add=6
04	08	2	2019-09-21 11:32:36.000000	10	7	0	2.0739142857142787	num_add=7
04	08	3	2019-09-21 11:49:14.000000	10	7	0	2.0489571428571423	num_add=7
04	08	4	2019-09-21 12:11:01.000000	10	5	1	2.1147199999999997	num_add=6
04	08	5	2019-09-21 12:29:22.000000	10	6	0	1.80105	num_add=6
04	09	1	2019-09-24 15:45:51.000000	10	8	0	1.405387499999999	num_add=8
04	09	2	2019-09-24 16:07:01.000000	10	2	0	2.8024499999999932	num_add=2
04	09	3	2019-09-24 16:26:16.000000	10	4	0	1.626775000000031	num_add=4
04	09	4	2019-09-24 16:44:04.000000	10	5	0	1.882160000000005	num_add=5
04	09	5	2019-09-24 17:03:12.000000	10	8	0	2.34386249999999	num_add=8
04	10	1	2019-09-25 11:27:54.000000	10	6	0	2.4465666666666634	num_add=6
04	10	2	2019-09-25 11:52:49.000000	10	5	0	2.7093799999999875	num_add=5
04	10	3	2019-09-25 12:17:08.000000	10	0	0		
04	10	4	2019-09-25 12:36:08.000000	10	5	0	1.8016200000000082	num_add=5
04	10	5	2019-09-25 12:56:09.000000	10	6	0	2.6916000000000238	num_add=6
05	05	1	2019-09-14 14:34:36.000000	10	6	3	2.0603333333333134	num_add=9
05	05	2	2019-09-14 14:57:43.000000	10	7	0	2.248828571428569	num_add=7
05	05	3	2019-09-14 15:17:57.000000	10	6	2	1.7400333333333247	num_add=8
05	05	4	2019-09-14 15:36:03.000000	10	6	1	2.4130833333333364	num_add=7
05	05	5	2019-09-14 15:54:24.000000	10	8	1	1.500599999999995	num_add=9
05	06	1	2019-09-19 10:24:38.000000	10	8	1	2.185475000000014	num_add=9
05	06	2	2019-09-19 10:52:11.000000	10	9	0	2.227477777777791	num_add=9
05	06	3	2019-09-19 11:15:27.000000	10	7	1	1.9158857142857133	num_add=8
05	06	4	2019-09-19 11:43:09.000000	10	7	1	1.9399428571428612	num_add=8
05	06	5	2019-09-19 12:16:07.000000	10	7	0	1.758514285714276	num_add=7
05	07	1	2019-09-20 14:17:20.000000	10	9	0	2.1279777777777755	num_add=9
05	07	2	2019-09-20 14:44:58.000000	10	7	0	1.7825428571428594	num_add=7
05	07	3	2019-09-20 15:17:54.000000	10	10	0	1.6181700000000034	num_add=10
05	07	4	2019-09-20 15:44:05.000000	10	5	0	1.5482000000000198	num_add=5
05	07	5	2019-09-20 16:03:19.000000	10	6	1	1.0728666666666555	num_add=7
05	08	1	2019-09-22 18:33:03.000000	10	4	0	1.9473249999999993	num_add=4
05	08	2	2019-09-22 18:56:38.000000	10	9	0	2.201866666666677	num_add=9
05	08	3	2019-09-22 19:30:57.000000	10	8	0	2.0811499999999863	num_add=8
05	08	4	2019-09-22 20:07:43.000000	10	7	0	2.1160571428571395	num_add=7
05	08	5	2019-09-22 22:38:09.000000	10	5	0	1.867740000000002	num_add=5
05	09	1	2019-09-24 10:31:42.000000	10	5	0	1.5877200000000073	num_add=5
05	09	2	2019-09-24 11:06:07.000000	10	8	1	2.0680374999999964	num_add=9
05	09	3	2019-09-24 11:25:07.000000	10	7	0	1.4438142857143077	num_add=7
05	09	4	2019-09-24 11:56:05.000000	10	8	0	1.5139499999999941	num_add=8
05	09	5	2019-09-24 12:27:12.000000	10	7	0	1.597114285714304	num_add=7
05	10	1	2019-09-26 10:20:35.000000	10	8	0	2.1413999999999938	num_add=8
05	10	2	2019-09-26 10:49:02.000000	10	6	0	1.5732666666666641	num_add=6
05	10	3	2019-09-26 11:09:31.000000	10	10	0	1.4676700000000111	num_add=10
05	10	4	2019-09-26 11:29:51.000000	10	9	2	1.8756333333333322	num_add=11
05	10	5	2019-09-26 11:49:16.000000	10	8	0	1.8642374999999942	num_add=8
pilot0	01	1	2019-07-15 13:51:23.000000	10	5	3	1.947460000000006	space=8
pilot0	01	2	2019-07-15 14:13:26.000000	2	1	1	2.801400000000001	num_add=2, lctrl=1, c=1
pilot0	02	1	2019-07-18 15:07:25.000000	10	4	0	2.484774999999992	num_add=4
pilot1	04	1	2019-07-18 18:47:55.000000	10	1	0	0.8336000000000041	num_add=1
pilot1	04	2	2019-07-18 19:08:55.000000	10	9	1	1.7716555555555535	num_add=10
pilot1	04	3	2019-07-18 19:27:23.000000	10	10	0	2.5432799999999824	num_add=10
pilot1	04	4	2019-07-18 19:46:44.000000	10	9	0	1.9830888888888738	num_add=9
pilot1	05	1	2019-07-18 18:47:55.000000	10	1	0	0.8336000000000041	num_add=1
pilot1	05	2	2019-07-18 19:08:55.000000	10	9	1	1.7716555555555535	num_add=10
pilot1	05	3	2019-07-18 19:27:23.000000	10	10	0	2.5432799999999824	num_add=10
pilot1	05	4	2019-07-18 19:46:44.000000	10	9	0	1.9830888888888738	num_add=9
pilot1	05	5	2019-07-22 15:04:51.000000	10	9	1	2.1833111111111174	num_add=10
pilot1	06	1	2019-07-22 13:50:16.000000	10	9	1	1.989788888888878	num_add=10
pilot1	06	2	2019-07-22 14:08:57.000000	10	10	1	2.2049200000000013	num_add=11
pilot1	06	3	2019-07-22 14:27:13.000000	10	10	1	1.965339999999999	num_add=11
pilot1	06	4	2019-07-22 14:48:23.000000	10	10	0	1.8812699999999978	num_add=10
pilot1	06	5	2019-07-22 15:04:51.000000	10	9	1	2.1833111111111174	num_add=10
pilot1	06	6	2019-07-23 16:36:14.000000	10	9	0	1.960800000000006	num_add=9
pilot1	07	1	2019-07-23 14:20:11.000000	10	8	0	1.567424999999993	num_add=8
pilot1	07	2	2019-07-23 14:51:37.000000	10	9	0	2.5166222222222245	num_add=9
pilot1	07	3	2019-07-23 15:11:18.000000	10	9	0	1.979466666666664	num_add=9
pilot1	07	4	2019-07-23 15:44:55.000000	10	10	1	2.7060900000000205	num_add=11
pilot1	07	5	2019-07-23 16:21:12.000000	10	10	1	1.213770000000006	num_add=11
pilot1	07	6	2019-07-23 16:36:14.000000	10	9	0	1.960800000000006	num_add=9
pilot1	08	1	2019-07-30 11:07:08.000000	10	10	0	2.0082299999999917	num_add=10
pilot1	08	2	2019-07-30 11:26:42.000000	10	8	0	2.360762500000023	num_add=8
pilot1	08	3	2019-07-30 11:46:52.000000	10	9	1	1.705433333333313	num_add=10
pilot1	08	4	2019-07-30 12:44:44.000000	10	8	1	1.9055999999999855	num_add=9
pilot1	08	5	2019-07-30 13:00:07.000000	10	10	0	2.0217399999999914	num_add=10
pilot1	09	1	2019-08-15 16:54:28.294745	0	0	0		
pilot2	05	1	2019-07-22 17:48:18.000000	10	9	6	2.6839444444444496	num_add=15
pilot2	05	2	2019-07-22 18:03:25.000000	10	9	1	2.4874222222222153	num_add=10
pilot2	05	3	2019-07-22 18:18:57.000000	10	9	1	2.0679000000000025	num_add=10
pilot2	05	4	2019-07-22 18:37:57.000000	10	9	0	2.1942999999999793	num_add=9
pilot2	05	5	2019-07-22 18:53:43.000000	10	9	0	2.290811111111101	num_add=9
pilot2	06	1	2019-07-23 10:13:17.000000	10	10	0	2.2750700000000017	num_add=10
pilot2	06	2	2019-07-23 10:28:31.000000	10	7	0	2.2993857142857217	num_add=7
pilot2	06	3	2019-07-23 10:45:45.000000	10	9	0	1.3638222222222174	num_add=9
pilot2	06	4	2019-07-23 11:01:28.000000	10	10	0	2.0687899999999884	num_add=10
pilot2	06	5	2019-07-23 11:18:09.000000	10	10	0	1.5044000000000062	num_add=10
pilot2	07	1	2019-07-25 10:44:48.000000	10	9	1	2.065188888888895	num_add=10
pilot2	07	2	2019-07-25 11:00:21.000000	7	6	1	1.907566666666663	num_add=7
pilot2	07	3	2019-07-25 11:29:29.000000	10	10	1	2.1519299999999983	num_add=11
pilot2	07	4	2019-07-25 11:45:51.000000	10	7	0	2.1922142857143	num_add=7, num_enter=1
pilot2	07	5	2019-07-25 12:02:01.000000	10	10	2	2.2850899999999967	num_add=12
pilot2	08	1	2019-07-26 16:41:55.000000	10	8	2	1.7554249999999874	num_add=10
pilot2	08	2	2019-07-26 17:02:10.000000	10	10	3	2.0055799999999935	num_add=13
pilot2	08	3	2019-07-26 17:19:32.000000	10	8	2	1.8763250000000085	num_add=10
pilot2	08	4	2019-07-26 17:35:03.000000	10	10	3	1.7515100000000174	num_add=13
pilot2	08	5	2019-07-26 17:51:29.000000	10	7	3	2.2161285714285475	num_add=10
pilot2	08	6	2019-07-26 18:10:40.000000	10	6	3	2.240733333333329	num_add=9, num_enter=2
pilot2	10	1	2019-08-01 11:00:56.000000	10	10	3	2.1164099999999992	num_add=13
pilot2	10	2	2019-08-01 11:19:20.000000	10	10	8	1.7077700000000007	num_add=18
pilot2	10	3	2019-08-01 11:35:56.000000	10	10	2	1.6279800000000093	num_add=12
pilot2	10	4	2019-08-01 11:59:04.000000	10	8	4	1.7805375000000172	num_add=12
pilot2	10	5	2019-08-01 12:17:49.000000	10	7	4	2.149414285714284	num_add=11
pilot2	10	6	2019-08-01 12:32:51.000000	10	9	3	1.7834555555555387	num_add=12, num_subtract=1
pilot2	11	1	2019-08-16 11:12:53.000000	10	10	3	2.2282099999999887	num_add=13
pilot2	11	2	2019-08-16 11:31:37.000000	10	9	0	1.9726111111111335	num_add=9
pilot2	11	3	2019-08-16 11:46:57.000000	10	8	1	1.5760249999999933	num_add=9
pilot2	11	4	2019-08-16 12:06:01.000000	10	9	0	2.0425222222222406	num_add=9
pilot2	11	5	2019-08-16 12:21:13.000000	10	10	3	1.5174599999999998	num_add=13, num_9=1
pilot2	11	6	2019-08-16 12:40:29.000000	10	9	0	2.012777777777758	num_add=9
pilot2	12	1	2019-08-23 15:16:39.000000	10	9	0	1.4134888888888986	num_add=9
pilot2	12	2	2019-08-23 15:32:15.000000	10	9	0	1.4861222222222321	num_add=9
pilot2	12	3	2019-08-23 15:53:20.000000	10	6	0	2.0537333333333314	num_add=6
pilot2	12	4	2019-08-23 16:10:08.000000	10	9	2	1.8909444444444463	num_add=11
pilot2	12	5	2019-08-23 16:36:42.000000	10	9	0	1.734622222222217	num_add=9
pilot2	12	6	2019-08-23 16:51:56.000000	10	8	1	1.5178750000000019	num_add=9, num_subtract=1
pilot3	01	1	2019-07-29 14:52:41.000000	10	9	1	2.501866666666667	num_add=10
pilot3	01	2	2019-07-29 15:13:11.000000	10	8	1	2.0302875	num_add=9
pilot3	01	3	2019-07-29 15:29:41.000000	10	8	1	1.9723000000000024	num_add=9
pilot3	01	4	2019-07-29 15:53:46.000000	10	7	0	2.3211857142857046	num_add=7
pilot3	01	5	2019-07-29 16:11:48.000000	10	10	1	2.422080000000002	num_add=11
pilot3	02	1	2019-07-30 15:04:00.000000	10	8	0	2.258724999999991	num_add=8
pilot3	02	2	2019-07-30 15:20:33.000000	10	5	1	2.020199999999999	num_add=6
pilot3	02	3	2019-07-30 15:41:43.000000	10	9	0	2.398333333333327	num_add=9
pilot3	02	4	2019-07-30 16:00:40.000000	10	10	0	2.2576900000000024	num_add=10
pilot3	02	5	2019-07-30 16:18:13.000000	10	9	0	1.6309555555555544	num_add=9
pilot3	05	1	2019-07-29 14:52:41.000000	10	9	1	2.501866666666667	num_add=10
pilot3	05	2	2019-07-29 15:13:11.000000	10	8	1	2.0302875	num_add=9
pilot3	05	3	2019-07-29 15:29:41.000000	10	8	1	1.9723000000000024	num_add=9
pilot3	05	4	2019-07-29 15:53:46.000000	10	7	0	2.3211857142857046	num_add=7
pilot3	05	5	2019-07-29 16:11:48.000000	10	10	1	2.422080000000002	num_add=11
pilot3	06	1	2019-07-30 15:04:00.000000	10	8	0	2.258724999999991	num_add=8
pilot3	06	2	2019-07-30 15:20:33.000000	10	5	1	2.020199999999999	num_add=6
pilot3	06	3	2019-07-30 15:41:43.000000	10	9	0	2.398333333333327	num_add=9
pilot3	06	4	2019-07-30 16:00:40.000000	10	10	0	2.2576900000000024	num_add=10
pilot3	06	5	2019-07-30 16:18:13.000000	10	9	0	1.6309555555555544	num_add=9
pilot3	07	1	2019-08-09 11:01:31.000000	0	0	10		num_add=10, lctrl=4, c=4, lalt=2, lshift=1
pilot3	07	2	2019-08-09 11:03:06.000000	10	7	0	2.368728571428566	num_add=7
pilot3	07	3	2019-08-09 11:20:48.000000	10	10	0	2.154770000000019	num_add=10
pilot3	07	4	2019-08-09 11:36:12.000000	10	9	1	1.7385000000000201	num_add=10
pilot3	07	5	2019-08-09 11:54:36.000000	10	8	0	1.9342749999999898	num_add=8
pilot3	07	6	2019-08-09 12:14:48.000000	10	9	0	2.13516666666666	num_add=9
pilot3	07	7	2019-08-09 12:33:31.000000	8	7	0	1.5302285714285542	num_add=7, lctrl=1, c=1
pilot3	08	1	2019-08-11 10:56:46.000000	10	8	0	1.9856249999999989	num_add=8
pilot3	08	2	2019-08-11 11:14:45.000000	10	9	0	2.250422222222216	num_add=9
pilot3	08	3	2019-08-11 11:40:48.000000	10	6	0	1.1954666666666565	num_add=6
pilot3	08	4	2019-08-11 12:01:30.000000	10	5	0	2.161400000000002	num_add=5
pilot3	08	5	2019-08-11 12:17:25.000000	10	9	0	2.7390333333333428	num_add=9, lctrl=1
pilot3	09	1	2019-08-12 14:45:54.000000	10	9	1	2.2547888888888847	num_add=10
pilot3	09	2	2019-08-12 15:02:45.000000	1	1	0	2.8031000000000006	lctrl=1, c=1, num_add=1
pilot3	09	3	2019-08-12 15:05:26.000000	10	0	0		
pilot3	09	4	2019-08-12 15:24:44.000000	10	9	0	2.1288666666666716	num_add=9
pilot3	09	5	2019-08-12 15:44:22.000000	10	10	0	1.5346400000000116	num_add=10
pilot3	09	6	2019-08-12 16:02:16.000000	10	9	0	1.2973222222222276	num_add=9
pilot3	09	7	2019-08-12 16:18:27.000000	10	8	0	1.200787500000013	num_add=8
pilot3	10	1	2019-08-13 14:55:19.000000	10	9	0	2.5378333333333436	num_add=9
pilot3	10	2	2019-08-13 15:11:05.000000	10	9	0	1.2054777777777792	num_add=9
pilot3	10	3	2019-08-13 15:29:33.000000	10	8	0	1.4517749999999987	num_add=8
pilot3	10	4	2019-08-13 15:47:48.000000	10	10	0	1.8248799999999996	num_add=10
pilot3	10	5	2019-08-13 16:06:44.000000	10	7	0	1.8845571428571424	num_add=7
